0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:41 +0530] "GET / HTTP/1.1" 200 11230
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:46 +0530] "GET /web-project-1.0-SNAPSHOT/ HTTP/1.1" 200 10124
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:46 +0530] "GET /web-project-1.0-SNAPSHOT/Logo.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:46 +0530] "GET /web-project-1.0-SNAPSHOT/jobfit.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:46 +0530] "GET /web-project-1.0-SNAPSHOT/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:46 +0530] "GET /web-project-1.0-SNAPSHOT/dashboard.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:46 +0530] "GET /web-project-1.0-SNAPSHOT/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:51 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:57 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:57 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:57 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:57 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:58 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:58 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:58 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:02:58 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:46 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/Logo.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/jobfit.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/dashboard.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/Logo.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/jobfit.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/dashboard.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/jobfit.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/Logo.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:48 +0530] "GET /web-project-1.0-SNAPSHOT/dashboard.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [05/Jan/2025:22:12:55 +0530] "GET /web-project-1.0-SNAPSHOT/hello HTTP/1.1" 404 785
